numero,codigo,nombre,grupo,descripcion
127,2400,"PRESIDENTE EJECUTIVO",C05_tipo_vinculo,"PRESIDENTE EJECUTIVO"
128,2410,"VICEPRESIDENTE EJECUTIVO",C05_tipo_vinculo,"VICEPRESIDENTE EJECUTIVO"
129,2421,"PRIMER VICEPRESIDENTE",C05_tipo_vinculo,"PRIMER VICEPRESIDENTE"
130,2422,"SEGUNDO VICEPRESIDENTE",C05_tipo_vinculo,"SEGUNDO VICEPRESIDENTE"
131,2423,"TERCER VICEPRESDIENTE",C05_tipo_vinculo,"TERCER VICEPRESDIENTE"
132,2424,"CUARTO VICEPRESIDENTE",C05_tipo_vinculo,"CUARTO VICEPRESIDENTE"
133,2425,"QUINTO VICEPRESIDENTE",C05_tipo_vinculo,"QUINTO VICEPRESIDENTE"
134,2500,"SECRETARIO GENERAL",C05_tipo_vinculo,"SECRETARIO GENERAL"
135,2510,SECRETARIO,C05_tipo_vinculo,SECRETARIO
136,2520,TESORERO,C05_tipo_vinculo,TESORERO
137,2530,VOCAL,C05_tipo_vinculo,VOCAL
138,2535,"VOCAL PRIMERO",C05_tipo_vinculo,"VOCAL PRIMERO"
139,2536,"VOCAL SEGUNDO",C05_tipo_vinculo,"VOCAL SEGUNDO"
140,2537,"VOCAL TERCERO",C05_tipo_vinculo,"VOCAL TERCERO"
141,2540,"FISCAL **********",C05_tipo_vinculo,"FISCAL **********"
142,2565,"MIEMBRO PRINCIPAL JUNTA DE VIGILANCIA",C05_tipo_vinculo,"MIEMBRO PRINCIPAL JUNTA DE VIGILANCIA"
143,2567,"MIEMBRO PRINCIPAL JUNTA ADMINISTRADORA",C05_tipo_vinculo,"MIEMBRO PRINCIPAL JUNTA ADMINISTRADORA"
144,2570,"GESTOR PRINCIPAL",C05_tipo_vinculo,"GESTOR PRINCIPAL"
145,2588,"MIEMBRO PRINCIPAL JUNTA CONCORDATARIA ************",C05_tipo_vinculo,"MIEMBRO PRINCIPAL JUNTA CONCORDATARIA ************"
146,2590,"MIEMBRO JUNTA PROVISIONAL DE ACREEDORES PRINCIPAL",C05_tipo_vinculo,"MIEMBRO JUNTA PROVISIONAL DE ACREEDORES PRINCIPAL"
147,2592,"MIEMBRO PRINCIPAL CONSEJO DE ADMININISTRACION",C05_tipo_vinculo,"MIEMBRO PRINCIPAL CONSEJO DE ADMININISTRACION"
148,2613,"SUBDIRECTOR EJECUTIVO",C05_tipo_vinculo,"SUBDIRECTOR EJECUTIVO"
149,2617,"JEFE DE AGENCIA",C05_tipo_vinculo,"JEFE DE AGENCIA"
150,2618,"JEFE DE OFICINA",C05_tipo_vinculo,"JEFE DE OFICINA"
151,2619,"SINDICO DE LA QUIEBRA",C05_tipo_vinculo,"SINDICO DE LA QUIEBRA"
152,2620,INTENDENTE,C05_tipo_vinculo,INTENDENTE
153,2624,"REPRESENTANTE JUDICIAL",C05_tipo_vinculo,"REPRESENTANTE JUDICIAL"
154,2630,RECTOR,C05_tipo_vinculo,RECTOR
155,2631,VICERECTOR,C05_tipo_vinculo,VICERECTOR
156,2632,COORDINADOR,C05_tipo_vinculo,COORDINADOR
157,2633,"COORDINADOR ACADEMICO",C05_tipo_vinculo,"COORDINADOR ACADEMICO"
158,2634,"COORDINADOR DISCIPLINARIO",C05_tipo_vinculo,"COORDINADOR DISCIPLINARIO"
159,2637,ORIENTADOR,C05_tipo_vinculo,ORIENTADOR
160,2638,"DIRECTOR ACADEMICO",C05_tipo_vinculo,"DIRECTOR ACADEMICO"
161,2700,"COORDINADOR ADMINISTRATIVO",C05_tipo_vinculo,"COORDINADOR ADMINISTRATIVO"
162,2704,"DIRECTOR DE TURISMO",C05_tipo_vinculo,"DIRECTOR DE TURISMO"
163,2705,"REPRESENTANTE GENERAL",C05_tipo_vinculo,"REPRESENTANTE GENERAL"
164,2800,APODERADO,C05_tipo_vinculo,APODERADO
165,2805,"APODERADO GENERAL",C05_tipo_vinculo,"APODERADO GENERAL"
166,2900,LIQUIDADOR,C05_tipo_vinculo,LIQUIDADOR
167,2901,INTERVENTOR,C05_tipo_vinculo,INTERVENTOR
168,2940,"MIEMBRO PRINCIPAL JUNTA LIQUIDADORA",C05_tipo_vinculo,"MIEMBRO PRINCIPAL JUNTA LIQUIDADORA"
169,2945,"MIEMBRO PPAL. JUNTA PROVISIONAL DE ACREEDORES",C05_tipo_vinculo,"MIEMBRO PPAL. JUNTA PROVISIONAL DE ACREEDORES"
170,2947,"MIEMBRO PRINCIPAL COMITE EJECUTIVO",C05_tipo_vinculo,"MIEMBRO PRINCIPAL COMITE EJECUTIVO"
171,2949,"MIEMBRO PRINCIPAL COMITE FINANCIERO",C05_tipo_vinculo,"MIEMBRO PRINCIPAL COMITE FINANCIERO"
172,3100,COMERCIANTE,C05_tipo_vinculo,COMERCIANTE
173,3110,EMPRESARIO,C05_tipo_vinculo,EMPRESARIO
174,3120,CAJERO,C05_tipo_vinculo,CAJERO
175,3130,PROPIETARIO,C05_tipo_vinculo,PROPIETARIO
176,3131,"PROPIETARIO Y REPRESENTANTE LEGAL",C05_tipo_vinculo,"PROPIETARIO Y REPRESENTANTE LEGAL"
177,3200,INTERDICTO,C05_tipo_vinculo,INTERDICTO
178,3201,INCAPAZ,C05_tipo_vinculo,INCAPAZ
179,3202,EMANCIPADO,C05_tipo_vinculo,EMANCIPADO
180,3203,HABILITADO,C05_tipo_vinculo,HABILITADO
181,3300,"CORREDOR DE COMERCIO",C05_tipo_vinculo,"CORREDOR DE COMERCIO"
182,3301,"MARTILLERO O REMATADOR",C05_tipo_vinculo,"MARTILLERO O REMATADOR"
183,3400,"PROMOTOR DE SOCIEDAD COMERCIAL",C05_tipo_vinculo,"PROMOTOR DE SOCIEDAD COMERCIAL"
184,3500,"INHABIL POR POSESION EN CARGO PUBLICO",C05_tipo_vinculo,"INHABIL POR POSESION EN CARGO PUBLICO"
185,"0013",AFGANISTAN,C07_paises,AFGANISTAN
186,"0017",ALBANIA,C07_paises,ALBANIA
187,"0020","ISLAS ALBORAN Y PEREJIL",C07_paises,"ISLAS ALBORAN Y PEREJIL"
188,"0023",ALEMANIA,C07_paises,ALEMANIA
189,"0031","BURKINA FASO",C07_paises,"BURKINA FASO"
190,"0037",ANDORRA,C07_paises,ANDORRA
191,"0040",ANGOLA,C07_paises,ANGOLA
192,"0043",ANTIGUA,C07_paises,ANTIGUA
193,"0047","ANTILLAS HOLANDESAS",C07_paises,"ANTILLAS HOLANDESAS"
194,"0053","ARABIA SAUDITA",C07_paises,"ARABIA SAUDITA"
195,"0059",ARGELIA,C07_paises,ARGELIA
196,"0063",ARGENTINA,C07_paises,ARGENTINA
197,"0069",AUSTRALIA,C07_paises,AUSTRALIA
198,"0072",AUSTRIA,C07_paises,AUSTRIA
199,"0076",LITUANIA,C07_paises,LITUANIA
200,"0077",BAHAMAS,C07_paises,BAHAMAS
201,"0080",BAHREIN,C07_paises,BAHREIN
202,"0081",BANGLADESH,C07_paises,BANGLADESH
203,"0083",BARBADOS,C07_paises,BARBADOS
204,"0086",LUXEMBURGO,C07_paises,LUXEMBURGO
205,"0087",BELGICA,C07_paises,BELGICA
206,"0088",BELICE,C07_paises,BELICE
207,"0090",BERMUDAS,C07_paises,BERMUDAS
208,"0093",BIRMANIA,C07_paises,BIRMANIA
209,"0097",BOLIVIA,C07_paises,BOLIVIA
210,"0099",UCRANIA,C07_paises,UCRANIA
211,"0101",BOTSWANA,C07_paises,BOTSWANA
212,"0105",BRASIL,C07_paises,BRASIL
213,"0108",BRUNEI,C07_paises,BRUNEI
214,"0111",BULGARIA,C07_paises,BULGARIA
215,"0115",BURUNDI,C07_paises,BURUNDI
216,"0119",BUTAN,C07_paises,BUTAN
217,"0127","CABO VERDE",C07_paises,"CABO VERDE"
218,"0131",CACHEMIR,C07_paises,CACHEMIR
219,"0137","ISLAS CAIMAN",C07_paises,"ISLAS CAIMAN"
220,"0141",CAMBOYA,C07_paises,CAMBOYA
221,"0145",CAMERUN,C07_paises,CAMERUN
222,"0149",CANADA,C07_paises,CANADA
223,"0152","ISLAS CANAL",C07_paises,"ISLAS CANAL"
224,"0153","ISLAS CANARIAS",C07_paises,"ISLAS CANARIAS"
225,"0159","CIUDAD DEL VATICANO",C07_paises,"CIUDAD DEL VATICANO"
226,"0165","ISLAS COCOS",C07_paises,"ISLAS COCOS"
227,"0169",COLOMBIA,C07_paises,COLOMBIA
228,"0173",COMORAS,C07_paises,COMORAS
229,"0177",CONGO,C07_paises,CONGO
230,"0183","ISLAS COOK",C07_paises,"ISLAS COOK"
231,"0187","COREA DEL NORTE",C07_paises,"COREA DEL NORTE"
232,"0190","COREA DEL SUR",C07_paises,"COREA DEL SUR"
233,"0193","COSTA DE MARFIL",C07_paises,"COSTA DE MARFIL"
234,"0196","COSTA RICA",C07_paises,"COSTA RICA"
235,"0199",CUBA,C07_paises,CUBA
236,"0203",CHAD,C07_paises,CHAD
237,"0207",CHECOSLOVAQUIA,C07_paises,CHECOSLOVAQUIA
238,"0208","REPUBLICA CHECA",C07_paises,"REPUBLICA CHECA"
239,"0209","REPUBLICA ESLOVACA",C07_paises,"REPUBLICA ESLOVACA"
240,"0211",CHILE,C07_paises,CHILE
241,"0215",CHINA,C07_paises,CHINA
242,"0218",TAIWAN,C07_paises,TAIWAN
243,"0221",CHIPRE,C07_paises,CHIPRE
244,"0229",BENIN,C07_paises,BENIN
245,"0232",DINAMARCA,C07_paises,DINAMARCA
246,"0235",DOMINICA,C07_paises,DOMINICA
247,"0239",ECUADOR,C07_paises,ECUADOR
248,"0240",EGIPTO,C07_paises,EGIPTO
249,"0242","EL SALVADOR",C07_paises,"EL SALVADOR"
250,"0244","EMIRATOS ARABES UNIDOS",C07_paises,"EMIRATOS ARABES UNIDOS"
251,"0245",ESPANA,C07_paises,ESPANA
252,"0246",ESCOCIA,C07_paises,ESCOCIA
253,"0249","ESTADOS UNIDOS",C07_paises,"ESTADOS UNIDOS"
254,"0253",ETIOPIA,C07_paises,ETIOPIA
255,"0259","ISLAS FEROE",C07_paises,"ISLAS FEROE"
256,"0263",FEZZAN,C07_paises,FEZZAN
257,"0267",FILIPINAS,C07_paises,FILIPINAS
258,"0271",FINLANDIA,C07_paises,FINLANDIA
259,"0275",FRANCIA,C07_paises,FRANCIA
260,"0281",GABON,C07_paises,GABON
261,"0285",GAMBIA,C07_paises,GAMBIA
262,"0289",GHANA,C07_paises,GHANA
263,"0293",GIBRALTAR,C07_paises,GIBRALTAR
264,"0297",GRENADA,C07_paises,GRENADA
265,"0301",GRECIA,C07_paises,GRECIA
266,"0305",GROENLANDIA,C07_paises,GROENLANDIA
267,"0309",GUADALUPE,C07_paises,GUADALUPE
268,"0313",GUAM,C07_paises,GUAM
269,"0317",GUATEMALA,C07_paises,GUATEMALA
270,"0325","GUAYANA FRANCESA",C07_paises,"GUAYANA FRANCESA"
271,"0329",GUINEA,C07_paises,GUINEA
272,"0331","GUINEA ECUATORIAL",C07_paises,"GUINEA ECUATORIAL"
273,"0334","GUINEA BISSAU",C07_paises,"GUINEA BISSAU"
274,"0337",GUYANA,C07_paises,GUYANA
275,"0341",HAITI,C07_paises,HAITI
276,"0345",HONDURAS,C07_paises,HONDURAS
277,"0351","HONG KONG",C07_paises,"HONG KONG"
278,"0355",HUNGRIA,C07_paises,HUNGRIA
279,"0361",INDIA,C07_paises,INDIA
280,"0365",INDONESIA,C07_paises,INDONESIA
281,"0369",IRAK,C07_paises,IRAK
282,"0372",IRAN,C07_paises,IRAN
283,"0375","IRLANDA DEL SUR",C07_paises,"IRLANDA DEL SUR"
284,"0379",ISLANDIA,C07_paises,ISLANDIA
285,"0383",ISRAEL,C07_paises,ISRAEL
286,"0386",ITALIA,C07_paises,ITALIA
287,"0391",JAMAICA,C07_paises,JAMAICA
288,"0395",JAMMU,C07_paises,JAMMU
289,"0399",JAPON,C07_paises,JAPON
290,"0403",JORDANIA,C07_paises,JORDANIA
291,"0410",KENIA,C07_paises,KENIA
292,"0413",KUWAIT,C07_paises,KUWAIT
293,"0420",LAOS,C07_paises,LAOS
294,"0423","ISLA LEBLAN",C07_paises,"ISLA LEBLAN"
295,"0426",LESOTHO,C07_paises,LESOTHO
296,"0431",LIBANO,C07_paises,LIBANO
297,"0434",LIBERIA,C07_paises,LIBERIA
298,"0438",LIBIA,C07_paises,LIBIA
299,"0447",MACAO,C07_paises,MACAO
300,"0450",MADAGASCAR,C07_paises,MADAGASCAR
301,"0455",MALASIA,C07_paises,MALASIA
302,"0458",MALAWI,C07_paises,MALAWI
303,"0461",MALDIVAS,C07_paises,MALDIVAS
304,"0464",MALI,C07_paises,MALI
305,"0467",MALTA,C07_paises,MALTA
306,"0474",MARRUECOS,C07_paises,MARRUECOS
307,"0477",MARTINICA,C07_paises,MARTINICA
308,"0485",MAURICIO,C07_paises,MAURICIO
309,"0488",MAURITANIA,C07_paises,MAURITANIA
310,"0493",MEXICO,C07_paises,MEXICO
311,"0496",MOLDAVIA,C07_paises,MOLDAVIA
312,"0497",MONGOLIA,C07_paises,MONGOLIA
313,"0501",MONTSERRAT,C07_paises,MONTSERRAT
314,"0504",MOYOTTE,C07_paises,MOYOTTE
315,"0505",MOZAMBIQUE,C07_paises,MOZAMBIQUE
316,"0508",NAURU,C07_paises,NAURU
317,"0511","ISLA NAVIDAD",C07_paises,"ISLA NAVIDAD"
318,"0517",NEPAL,C07_paises,NEPAL
319,"0521",NICARAGUA,C07_paises,NICARAGUA
320,"0525",NIGER,C07_paises,NIGER
321,"0528",NIGERIA,C07_paises,NIGERIA
322,"0531","ISLA NIVE",C07_paises,"ISLA NIVE"
323,"0535","ISLA NOREOLK",C07_paises,"ISLA NOREOLK"
324,"0538",NORUEGA,C07_paises,NORUEGA
325,"0542","NUEVA CALEDONIA",C07_paises,"NUEVA CALEDONIA"
326,"0543",PALESTINA,C07_paises,PALESTINA
327,"0545","PAPUA NUEVA GUINEA",C07_paises,"PAPUA NUEVA GUINEA"
328,"0548","NUEVA ZELANDA",C07_paises,"NUEVA ZELANDA"
329,"0556",OMAN,C07_paises,OMAN
330,"0573",HOLANDA,C07_paises,HOLANDA
331,"0576",PAKISTAN,C07_paises,PAKISTAN
332,"0580",PANAMA,C07_paises,PANAMA
333,"0583","PAPUA TERRITORIO",C07_paises,"PAPUA TERRITORIO"
334,"0586",PARAGUAY,C07_paises,PARAGUAY
335,"0589",PERU,C07_paises,PERU
336,"0593","ISLAS PITCAIRN",C07_paises,"ISLAS PITCAIRN"
337,"0599","POLINESIA FRANCESA",C07_paises,"POLINESIA FRANCESA"
338,"0603",POLONIA,C07_paises,POLONIA
339,"0607",PORTUGAL,C07_paises,PORTUGAL
